category,proxy,name,source_hint,data_type
EQUITY,^GSPC,S&P 500 Index,yfinance,YF
EQUITY,VTI,Vanguard Total Stock Market ETF,yfinance,YF
EQUITY,VEA,Vanguard FTSE Developed Markets ETF,yfinance,YF
EQUITY,VWO,Vanguard FTSE Emerging Markets ETF,yfinance,YF
EQUITY,ACWI,iShares MSCI ACWI ETF,yfinance,YF
EQUITY,MXWD Index,MSCI World Index,bloomberg,BBG
EQUITY,MXEF Index,MSCI Emerging Markets Index,bloomberg,BBG
EQUITY,MXEA Index,MSCI EAFE Index,bloomberg,BBG
SMALL CAP,^RUT,Russell 2000 Index,yfinance,YF
SMALL CAP,FF_SMB,French Size Factor (SMB),french,FRENCH
SMALL CAP,RTY Index,Russell 2000 Index,bloomberg,BBG
EQUITY VALUATION,CAPE,Shiller CAPE Ratio,shiller,SHILLER
EQUITY VALUATION,SPX_DY,S&P 500 Dividend Yield,shiller,SHILLER
INTEREST RATES,DFF,Fed Funds Rate,FRED,FRED
INTEREST RATES,TB3MS,3-Month Treasury Bill,FRED,FRED
INTEREST RATES,DGS10,10-Year Treasury Yield,FRED,FRED
INTEREST RATES,T10Y2Y,10Y-2Y Treasury Spread,FRED,FRED
INTEREST RATES,BND,Vanguard Total Bond Market ETF,yfinance,YF
INTEREST RATES,USGG10YR Index,US Generic Govt 10 Year Yield,bloomberg,BBG
INTEREST RATES,GTGBP10Y Govt,UK 10-Year Government Bond Yield,bloomberg,BBG
INTEREST RATES,GTDEM10Y Govt,German 10-Year Government Bond Yield,bloomberg,BBG
INTEREST RATES,GTJPY10Y Govt,Japan 10-Year Government Bond Yield,bloomberg,BBG
CREDIT,AAA,Moody's AAA Corporate Yield,FRED,FRED
CREDIT,BAA,Moody's BAA Corporate Yield,FRED,FRED
CREDIT,LQD,iShares iBoxx Investment Grade Corporate Bond ETF,yfinance,YF
CREDIT,HYG,iShares iBoxx High Yield Corporate Bond ETF,yfinance,YF
CREDIT,LUACTRUU Index,Bloomberg Agg Credit Index,bloomberg,BBG
CREDIT,LF98TRUU Index,Bloomberg US High Yield Index,bloomberg,BBG
CREDIT,HYG0 Index,US High Grade Credit OAS,bloomberg,BBG
COMMODITIES,DCOILWTICO,WTI Crude Oil,FRED,FRED
COMMODITIES,GC=F,Gold Futures,yfinance,YF
COMMODITIES,PPIACO,Producer Price Index All Commodities,FRED,FRED
COMMODITIES,BCOM Index,Bloomberg Commodity Index,bloomberg,BBG
COMMODITIES,CL1 Comdty,Crude Oil Front Month,bloomberg,BBG
COMMODITIES,GC1 Comdty,Gold Front Month,bloomberg,BBG
COMMODITIES,C 1 Comdty,Corn Front Month,bloomberg,BBG
COMMODITIES,HG1 Comdty,Copper Front Month,bloomberg,BBG
COMMODITIES,SPGSCI Index,S&P GSCI Commodity Index,bloomberg,BBG
COMMODITIES,W 1 Comdty,Wheat Front Month,bloomberg,BBG
FOREIGN CURRENCY,DEXCAUS,USD/CAD Exchange Rate,FRED,FRED
FOREIGN CURRENCY,DEXJPUS,USD/JPY Exchange Rate,FRED,FRED
FOREIGN CURRENCY,DEXUSUK,USD/GBP Exchange Rate,FRED,FRED
FOREIGN CURRENCY,DTWEXM,Trade-Weighted Dollar Index,FRED,FRED
FOREIGN CURRENCY,DXY Index,Dollar Index,bloomberg,BBG
FOREIGN CURRENCY,EURUSD Curncy,EUR/USD Spot,bloomberg,BBG
FOREIGN CURRENCY,GBPUSD Curncy,GBP/USD Spot,bloomberg,BBG
FOREIGN CURRENCY,USDJPY Curncy,USD/JPY Spot,bloomberg,BBG
FOREIGN CURRENCY,USDCAD Curncy,USD/CAD Spot,bloomberg,BBG
FX CARRY,DBIQ0000 Index,Deutsche Bank G10 Currency Future Harvest Index,bloomberg,BBG
LOCAL INFLATION,CPIAUCSL,CPI (All Urban Consumers),FRED,FRED
LOCAL INFLATION,CPILFESL,Core CPI,FRED,FRED
LOCAL INFLATION,T10YIE,10Y Breakeven Inflation,FRED,FRED
LOCAL INFLATION,TIPS,iShares TIPS Bond ETF,yfinance,YF
LOCAL INFLATION,USGGBE10 Index,US 10Y Breakeven Inflation Rate,bloomberg,BBG
MOMENTUM,FF_UMD,French Momentum Factor (UMD),french,FRENCH
VALUE,FF_HML,French Value Factor (HML),french,FRENCH
QUALITY,FF_RMW,French Profitability Factor (RMW),french,FRENCH
LOW RISK,FF_CMA,French Investment Factor (CMA),french,FRENCH
EQUITY VOLATILITY,^VIX,CBOE Volatility Index,yfinance,YF
EQUITY VOLATILITY,VIX Index,CBOE SPX Volatility Index,bloomberg,BBG
EQUITY VOLATILITY,VVIX Index,CBOE VIX of VIX,bloomberg,BBG
EQUITY VOLATILITY,V2X Index,EURO STOXX 50 Volatility,bloomberg,BBG
TREND FOLLOWING,NEIXCTAT Index,Newedge CTA Index,bloomberg,BBG
TREND FOLLOWING,HFRXM Index,HFRX Macro/CTA Index,bloomberg,BBG
TREND FOLLOWING,USSOAC Index,USS Systematic Alpha CTA Index,bloomberg,BBG
FIXED INCOME CARRY,LUATTRUU Index,Bloomberg Agg Treasury Index,bloomberg,BBG
FIXED INCOME CARRY,H15T2Y Index,US 2Y Treasury Yield,bloomberg,BBG
FIXED INCOME CARRY,H15T5Y Index,US 5Y Treasury Yield,bloomberg,BBG
CREDIT SPREADS,IG1 Index,CDX IG 5Y Spread,bloomberg,BBG
CREDIT SPREADS,HY1 Index,CDX HY 5Y Spread,bloomberg,BBG
GLOBAL EQUITY,MXWO Index,MSCI World Index,bloomberg,BBG
GLOBAL EQUITY,VT,Vanguard Total World Stock ETF,yfinance,YF
